Description				
Number of Runs	26			
Preset Time	30			
Pause Time	0			
Alarm Level	0			
High Voltage	700			
Step Voltage	20			
Volume	0			
				
Run	High		Elapsed	
Number	Voltage	Counts	Time	Date/Time
1	700	0	30	4/9/25 14:06
2	720	3	30	4/9/25 14:07
3	740	348	30	4/9/25 14:07
4	760	372	30	4/9/25 14:08
5	780	335	30	4/9/25 14:08
6	800	375	30	4/9/25 14:09
7	820	409	30	4/9/25 14:09
8	840	401	30	4/9/25 14:10
9	860	425	30	4/9/25 14:10
10	880	436	30	4/9/25 14:11
11	900	412	30	4/9/25 14:11
12	920	462	30	4/9/25 14:12
13	940	442	30	4/9/25 14:12
14	960	417	30	4/9/25 14:13
15	980	469	30	4/9/25 14:13
16	1000	443	30	4/9/25 14:14
17	1020	459	30	4/9/25 14:14
18	1040	455	30	4/9/25 14:15
19	1060	466	30	4/9/25 14:15
20	1080	418	30	4/9/25 14:16
21	1100	439	30	4/9/25 14:16
22	1120	464	30	4/9/25 14:17
23	1140	530	30	4/9/25 14:17
24	1160	522	30	4/9/25 14:18
25	1180	495	30	4/9/25 14:18
26	1200	478	30	4/9/25 14:19